Epoch,Loss,Accuracy,Precision,Recall,F1-score,Validation-F1-score
1,0.7216603284259494,0.7513478888825902,0.2524778167168708,0.8536258534803273,0.3896951028855459,0.48520991842525785
2,0.6585119630364206,0.8426514289848233,0.35333977966563473,0.8335492229892064,0.4962993138072209,0.5282464735574176
3,0.6165412434999892,0.8710013492690228,0.4037184075017487,0.8116061511127177,0.5392145505878692,0.5466663150529513
4,0.5867787368005986,0.8852743748967298,0.43607814054990307,0.7969451466026617,0.5637044511191911,0.5827777387659503
5,0.5645324865476691,0.8948482359363574,0.46169255749142973,0.7875622159434068,0.582125634249571,0.6173586874549739
6,0.5471571967970553,0.9010022262417032,0.4802597877178298,0.7848214362184874,0.5958798047478835,0.6190604920044085
7,0.5352875318029802,0.9050432150054667,0.49337960462199903,0.784919339667081,0.6059039557143334,0.6056613566087427
8,0.5264929208180887,0.9097566685079522,0.5096804664685884,0.7797175359990833,0.61642223223735,0.6189761261317316
9,0.5182988702607669,0.9108048335064757,0.5133949964111086,0.7835940990948287,0.6203495327547477,0.6300518551323216
10,0.5108757112309229,0.9134549224506764,0.523144347684915,0.78418240579045,0.6276022303569615,0.5524405198490419
11,0.507450307659108,0.9145837535551313,0.527517898778729,0.781407588742905,0.6298395030627708,0.6302302001779759
12,0.49658693480405874,0.9179932835373249,0.5406394521560975,0.7861362662430386,0.6406753973678286,0.6506128434614792
13,0.4957804795649412,0.918551498758121,0.5430376763190918,0.783491322623907,0.6414715510823757,0.6448163174045618
14,0.49255255207741006,0.9182699638861936,0.5416343015041454,0.7881158208133576,0.6420312432333595,0.6268776373346239
15,0.4826078344163277,0.9220867725603625,0.5574688065956612,0.7867174849061825,0.6525441603017391,0.6475850364831884
16,0.4799741229993834,0.9219779680732506,0.5566479512131418,0.7911938727503249,0.6535135509948341,0.649775481951871
17,0.4743228061593694,0.9231249813234756,0.5612919975529977,0.793820727119905,0.657606136392314,0.642751367691285
18,0.47394404479925584,0.9236357842646108,0.5637344767592866,0.7910126110864507,0.6583089706136996,0.6529385761413995
19,0.46676942791870174,0.9253512642249199,0.5708703202372819,0.7946655319908009,0.664429228993024,0.6487143805732386
20,0.46458750395037285,0.926009556777513,0.573753849708489,0.7949870037971181,0.6664911808960557,0.6546432110145046
21,0.45854891997447117,0.9274336623587616,0.5799450591227268,0.7968784009634999,0.6713216396406522,0.6470458483107446
22,0.4528018250096616,0.9283822856022893,0.5838721007971478,0.8002156090879209,0.6751357813987535,0.6591648201229352
23,0.4488343964163348,0.9293083596892051,0.5879786847808007,0.8015051141630998,0.678335254040241,0.6570360274806936
24,0.44797932297634563,0.9293052492239355,0.5879908038912582,0.8012994873875845,0.6782696643089312,0.6581376759450815
25,0.4433931806962267,0.9312018090740662,0.596770764002838,0.8023596650786521,0.6844605483255629,0.6598185450112839
26,0.44059372173367645,0.9307939879389203,0.5945265111069621,0.8045296366881286,0.6837669792397781,0.6681987927077401
27,0.4337068284801442,0.9328731245473689,0.6041765121403331,0.8066838078918744,0.6908967564430037,0.6504887669353455
28,0.42705770876767823,0.9345533868998024,0.6123347524293945,0.8074440732087435,0.6964832236410226,0.6609299695041939
29,0.43023194415535,0.9334444202015835,0.6066801882547234,0.8084837989727669,0.693193308745278,0.6552502278759159
30,0.4286939046151346,0.9335066981706674,0.6065659878549351,0.8111037129772128,0.6940797629039265,0.6591411174629614
31,0.42174317575187137,0.9354212273091215,0.615652463936924,0.8133684131874026,0.7008326829695776,0.659332682545657
32,0.42841933249569625,0.9333359178347185,0.6060594680398003,0.8090499555668964,0.6929957182233789,0.6380580822147194
33,0.4142854423831693,0.9365067865545723,0.6205805742682292,0.8164088837855055,0.7051513023950764,0.6593857674101645
34,0.40990950145738586,0.93786739881938,0.6276264540841952,0.8160691750622935,0.7095492876633086,0.6637303105839425
35,0.4114840933316046,0.9369802021151493,0.6226825737005659,0.8180575896732092,0.7071229335068421,0.6512893066187306
36,0.40410488147100954,0.9384830237534628,0.6299415164900258,0.8205324205128841,0.7127152362008705,0.6652041550828354
37,0.4035588283118584,0.9385803820030375,0.6304257715855065,0.8206444261927608,0.7130673572815968,0.6669653935740584
38,0.4024085829155051,0.939106613675874,0.6335941612222995,0.8186264781131893,0.7143225246982152,0.6642086749592392
39,0.40186193542514775,0.9384791648539452,0.6295618664841734,0.8223400164619554,0.7131527573996869,0.6682236630108533
40,0.3905532445838983,0.9411779500888563,0.6430739453986444,0.8258777568385485,0.7231013336902623,0.6620802187425849
41,0.39821543957260874,0.9388895334120824,0.6315484023456239,0.8230697146387658,0.7147007963530809,0.6680118639807652
42,0.39044436287108086,0.9414423602358779,0.6448864822993985,0.8241721251900109,0.7235891882235028,0.6630408877187258
43,0.38468712310996844,0.9421757708680497,0.6478718164655134,0.8285476562386942,0.7271546941770118,0.6512696748748332
44,0.3797457421855103,0.9432165682523695,0.6535216597282338,0.8288359767264454,0.7308118497614646,0.6637950238298753
45,0.38007046153648294,0.9434939970354863,0.6550734871452206,0.8287910858540887,0.7317636347741884,0.6687108646015814
46,0.37578040629410914,0.9439889798618728,0.6569093004913871,0.8325313519919881,0.73436640414286,0.6576780962662421
47,0.36624400435591775,0.9454769701426096,0.6644703878952983,0.8357209666068023,0.7403213372573506,0.6643061032575841
48,0.37077677721599883,0.9445611956095666,0.6599181148188766,0.8333044643677224,0.7365448645911238,0.6580875748090722
49,0.3746517369215437,0.9434279219642079,0.6532910575200606,0.8346327321205119,0.7329113278571625,0.6612065932535802
50,0.3683745394722163,0.9452781338219112,0.6636576679527956,0.8345087653858296,0.73934127583934,0.6552133265953021
51,0.36085213656476933,0.9464612092434294,0.669566709150501,0.8377159524144939,0.7442621450692827,0.6458772701725514
52,0.3603499642164587,0.9463055211870887,0.6683573482352846,0.8388865852783337,0.7439751471412563,0.6686875390824549
53,0.35169122620023413,0.9479063396473169,0.6766316414188854,0.8424582891438809,0.7504939945184071,0.6654339353020237
54,0.3494119098503813,0.9483899037016432,0.6791944273585279,0.8434091191672507,0.7524463935853084,0.6640593012823176
55,0.34690851423380187,0.948605940277309,0.6798226448096617,0.8456311435152329,0.7537156548665048,0.6558765419237035
56,0.34539078025937936,0.948931893691905,0.6817835121033298,0.8454949942247302,0.7548650023422783,0.6622764025193062
57,0.35375182341328626,0.9479125537114869,0.6776404171508383,0.8390504960293728,0.7497566223928511,0.6649080358566566
58,0.3439045465357012,0.949326339139755,0.6839761708780872,0.8459893106563547,0.7564046853216538,0.6623244394483229
59,0.3357807283135627,0.9506961935375711,0.6908368328448562,0.850417854281275,0.7623658593919531,0.6609717865773942
60,0.3325450602624056,0.9512339881762221,0.6937809970383867,0.8514184481993297,0.7645588298767902,0.6624178765508106
61,0.3353771236624649,0.9507514197454368,0.6917993197536934,0.8484001277027184,0.7621384778354133,0.656296220416778
62,0.3280080349432479,0.9518469901572519,0.6971870967087448,0.8524721285272929,0.7670493727064942,0.6681591210981556
63,0.3374846372887385,0.9504203302866429,0.6895499634617461,0.849201001538989,0.7610932930691723,0.6677027236015453
64,0.323483913493671,0.9527535225572864,0.7020640295620898,0.854650812510023,0.7708792607137045,0.6628275123841737
65,0.32678700125903537,0.9521870470942844,0.6987783741455201,0.854005137051538,0.7686329960069535,0.6629697179371411
66,0.3174982910855211,0.9536198935635863,0.7068944994775892,0.856354893651456,0.7744798323078046,0.6542386606992316
67,0.3166228212255368,0.9539341466849829,0.7086834061690003,0.8569002291501833,0.7757758313784895,0.662685111708963
68,0.30906950350073603,0.9549652212904468,0.7132843568528611,0.8623976628394244,0.7807854054334629,0.662730698464545
69,0.31338732014242693,0.9544426081942042,0.7109373945747627,0.8596537082666246,0.7782547175849216,0.6582008872798113
70,0.311034923405956,0.9545677065755428,0.7116383501137241,0.8599128644540782,0.7787808204137469,0.6710484282663322
71,0.3052895324264499,0.9554358285060011,0.7156670321580434,0.8641151078754243,0.7829164275563101,0.6579673660774948
72,0.2995946978171952,0.9565830546136728,0.7226000784251829,0.8653345447962176,0.7875523346990898,0.6550976382974733
