Epoch,Loss,Accuracy,Precision,Recall,F1-score,Validation-F1-score
1,0.7189652343019307,0.7251527931950655,0.2377573068915027,0.8864202600776316,0.37494591602344185,0.4703263101136052
2,0.6543117034778321,0.8299018859004985,0.3364606166409114,0.8528356116927728,0.48254688607819257,0.4630711812865537
3,0.6099164235077316,0.8684092605458643,0.39894080643329627,0.8191015977901878,0.5365544760020741,0.5613359142508199
4,0.5763940364122391,0.8873948127162082,0.4416810695643415,0.7983920650657754,0.5687320390746425,0.5760118856878459
5,0.5541578548417675,0.8970104075481283,0.46817977700666363,0.7904056244719047,0.588044209912712,0.6003397976879314
6,0.5371253251386203,0.9045811152214113,0.491854925834087,0.7860474443360567,0.605087393936845,0.6025700479542648
7,0.5279701689807631,0.9065225261954734,0.4983608649887538,0.784097054066035,0.6093974395471587,0.6186143831054693
8,0.5192794545734529,0.9119807267057599,0.5178239596732974,0.7776360171282305,0.6216765763279233,0.6225226981788045
9,0.5100849963349404,0.9143797674574966,0.5266377010849549,0.7841982800298525,0.6301144999673705,0.5951468196417601
10,0.5064891890870581,0.9152137566664206,0.5298697053336622,0.7831791538602163,0.6320905799867198,0.6401296511283957
11,0.49976913245033017,0.9171154662934877,0.5371552030856122,0.7860841396708613,0.6382053072994069,0.6131255357535659
12,0.4950356318367471,0.9188287902138528,0.5441372581257529,0.7838989583250271,0.6423749963243911,0.6315207274043787
13,0.48984520576840684,0.9203029104287075,0.5501342231401926,0.7847053696866706,0.6468092215219562,0.6430372376571493
14,0.48430781741794066,0.9217872546673733,0.556394785102847,0.7842679051822082,0.6509654900206616,0.64889988565391
15,0.4798041712894714,0.9224208969543642,0.5585525345180166,0.7907940634183985,0.6546872820958664,0.6540325652395281
16,0.4741552689735838,0.9246531741961624,0.5683711277163289,0.7889061364345838,0.6607219943497127,0.6331645093397409
17,0.4755898306695677,0.9241363151173501,0.5662468413279399,0.7874077559023376,0.6587605959882413,0.6455254761782495
18,0.4667170049904062,0.9264459145432558,0.5760993663698188,0.791394405002497,0.6667991106285315,0.597389624208138
19,0.46506435257925405,0.9265403477195304,0.5764005786015068,0.7925168983124281,0.6673991770030926,0.6552175649925305
20,0.462449892712154,0.9261039212900952,0.5740888332547772,0.7957858841242544,0.6669979143955657,0.6465223484303294
21,0.45778326250666335,0.9278566238381004,0.5818743932577327,0.7968502703346053,0.6726024126675172,0.6653949966313443
22,0.4528710889301712,0.9289142781589254,0.5865018702210372,0.7987757048236128,0.6763748337600513,0.6643558970379014
23,0.4474916655382664,0.9304828109509471,0.5937012796666397,0.7998880829205293,0.6815416236220141,0.6642468297047657
24,0.4479539624864249,0.930244994252025,0.5925786544695124,0.7998726516831567,0.6807957414194816,0.6621671903605882
25,0.44339530952542805,0.9310463338751722,0.5962427528490449,0.8008691847492712,0.6835707784556423,0.637685905934609
26,0.4414470450912448,0.9323485476695214,0.6025959609491341,0.8004029989465412,0.6875551986619067,0.6607278256736067
27,0.43788701906907473,0.9326741714983934,0.6042493296204189,0.8000175133469128,0.6884874460226965,0.6646896873872025
28,0.43287380157614785,0.9338355217276093,0.6096713928863392,0.8019997997630826,0.6927340269633914,0.6615928729982934
29,0.4302243997724794,0.9338852136418607,0.6091681368631134,0.8065227028203577,0.6940893003513811,0.6518752375160622
30,0.423527665275464,0.9357313262771227,0.618710664299207,0.8050403441948571,0.699682800114468,0.6530727211282338
31,0.42781412676512764,0.9341262094697449,0.6101367386586429,0.8078788058673552,0.6952202206050073,0.6743729668834082
32,0.42203200206482155,0.9353868611310328,0.6163578983752721,0.8083848618527704,0.6994306739978917,0.6455102659473779
33,0.4145396476169284,0.9374042553471987,0.6265523519194834,0.8092588310239638,0.7062809231645989,0.6729104435730247
34,0.41043353788286663,0.9382151872881862,0.6301654378708865,0.8124405454359125,0.7097876453903528,0.6660145000674308
35,0.40513992395332393,0.9386866802653736,0.6319801816574621,0.81571543794147,0.7121883684277008,0.6688236781576801
36,0.4123204546652252,0.9372726133159663,0.6250017863457853,0.8137307888478078,0.7069878105262347,0.6613583948600298
37,0.4038413151991453,0.9390956206187071,0.6338713197575538,0.8170091515359323,0.71388192119835,0.6725185043193304
38,0.40048618453869717,0.9391569166969885,0.6336881866896619,0.8194540797385934,0.7146972211349311,0.672697878813144
39,0.4000756918526382,0.9394980997185778,0.6359206074570576,0.8174167134033808,0.7153358349392394,0.6731924319281618
40,0.3987851206132834,0.939995643700694,0.6386941478035625,0.8168828959574292,0.7168817718377081,0.6738372908784159
41,0.3919974973947882,0.9408716138912033,0.6422901879787631,0.8219802249800575,0.7211097465944831,0.6699844495738976
42,0.3901505714697803,0.9416953653435778,0.6473552235254043,0.8194423401848028,0.7233040092522509,0.6699536134909517
43,0.3841424109481221,0.9426686457190769,0.6518108695662339,0.8233337438485476,0.7276003703512791,0.664301739002763
44,0.38283658091970485,0.9424327241380674,0.6497975385288177,0.826320094365339,0.727504030017909,0.6700165494318613
45,0.3805006901137263,0.9433501328669915,0.6553313908955034,0.8244775012559108,0.7302375198929417,0.6760324843735798
46,0.3793761329256373,0.942685832241306,0.6509126448769765,0.8274913917322236,0.7286568449051543,0.667871812616757
47,0.3855685570257173,0.9419393411757158,0.6482565810176714,0.821329971833931,0.7246018390618317,0.6694581645665066
48,0.37617955126350733,0.9439811728000372,0.65887020318138,0.824535977523849,0.7324523709119546,0.6761343819459819
49,0.3733558416795388,0.9443930725585169,0.6604954918392503,0.8273132310825582,0.7345522997013796,0.6705505131336362
