Epoch,Loss,Accuracy,Precision,Recall,F1-score,Validation-F1-score
1,0.7472089023041211,0.7271889669311262,0.21442243907236674,0.8950544301176435,0.34596440779962573,0.3557612171903523
2,0.6981180831253957,0.8197240178235565,0.29101303367648734,0.8604339108126341,0.43492665269923686,0.5177165137121584
3,0.6633756353700762,0.8603353304030965,0.34724808456538997,0.8300157232329907,0.48964619169057805,0.4628935332240128
4,0.6359144543572296,0.8774882623537519,0.37961312580680845,0.8118101150717405,0.5173204026416718,0.4944847463084699
5,0.6118816268101013,0.8933882398430469,0.4161544219647342,0.7933094523824742,0.545926577217656,0.5266679299236878
6,0.5962098567820281,0.9009037831057873,0.4360307159523356,0.7827699428671336,0.5600780343274836,0.5397644322544031
7,0.5862539434175698,0.9041864775152225,0.4465328482830203,0.7776704194111483,0.5673165503947383,0.571999667992302
8,0.5780221279576528,0.9095033612800055,0.4646291183341682,0.7706979294610115,0.5797472015310567,0.5405226294910785
9,0.5746299879585238,0.9114172587124888,0.47176259844088897,0.7695156888582855,0.584927207107938,0.5968533085288784
10,0.5669330241654417,0.9140535599872385,0.4800638719672826,0.7686009576987354,0.5909953463641758,0.5950539051549286
11,0.5664439502594282,0.9125661670806263,0.4760789150362769,0.767730866614536,0.5877112134181938,0.605202642941656
12,0.5638692693101416,0.9147501737466075,0.4825545739373532,0.7650505653572266,0.5918196999656934,0.6132656246459958
13,0.558690981363221,0.9170716107930975,0.490760662987454,0.7707010135660449,0.59966901478316,0.5890135273541307
14,0.5562576221690761,0.9196433338650649,0.49933747047022786,0.7668694179987323,0.6048405499159467,0.6005217001878255
15,0.5531386149872979,0.9187883953635638,0.5002007959822112,0.7688126069414225,0.6060781975466659,0.618871309540472
16,0.5534054231729438,0.9188968359331056,0.49839916176208116,0.7712005454750888,0.6054911689475395,0.596412559024886
17,0.5511291131055612,0.9189855562901655,0.5004209163948088,0.7718544268101994,0.6071831882157464,0.6116867516025585
18,0.5508477649242758,0.9196393925691163,0.5013847229187706,0.7695307265507275,0.6071701312155252,0.6018499217825635
19,0.5477535304405706,0.9213780259265314,0.5086778404325659,0.7701600435400067,0.6126864908293314,0.6168187203268697
20,0.5502516011968791,0.9202888137726404,0.5031915476349548,0.7687010326408827,0.608233538400337,0.6270635284019752
21,0.5500860315003842,0.9208187395521326,0.5067317459170125,0.769386844809849,0.6110290093556424,0.624167299158678
22,0.5451215380172936,0.9219153742511812,0.51120505559113,0.7742193733239277,0.6158041637871224,0.634799676244063
23,0.5430920398492607,0.9224418256478337,0.5131207402236957,0.774843280111347,0.6173901617914214,0.6315317583625544
24,0.5441396589116226,0.9232452869790788,0.5170287387469757,0.770253829133985,0.6187349626706041,0.6280046382853581
25,0.5462862939285718,0.9219212724623657,0.5110210889287008,0.7691177263313551,0.6140511846668313,0.6161921111425663
26,0.542170103505361,0.922398313465906,0.5141058643387817,0.7750588838891544,0.6181712895314655,0.6209245020534007
27,0.5417680479854131,0.9238280288708305,0.5181976674646979,0.770583572840792,0.6196778747928684,0.6193262272473957
28,0.5434423100819691,0.9231831669364875,0.5155199027620715,0.7715892342514806,0.6180821743469549,0.6143023498395997
29,0.5389019623934794,0.9242574859354785,0.5203049990956726,0.7740608451141868,0.6223089540237186,0.628041635065776
30,0.5399979113889255,0.9255875703226073,0.5258995800023933,0.7684021764485882,0.6244330270790942,0.6258281832736591
31,0.5412729306401108,0.9244608403271424,0.5228166745392546,0.7687877746140348,0.6223810517432515,0.6393498426463914
32,0.5358011679683657,0.925156973440664,0.5245606022444755,0.7747724889118285,0.6255749601887882,0.609080982102216
33,0.535664873371879,0.925243510292303,0.5252094111329191,0.7758569567121588,0.626389837488586,0.6076538678187031
34,0.5346876722659996,0.9258026044083628,0.5268829851573759,0.7746264617985998,0.6271756283120513,0.638155544099039
35,0.5344046238515017,0.9264279795867786,0.5292837912961348,0.7770851140421364,0.6296820961357918,0.6383080630518371
36,0.5417020510640933,0.9232054002401142,0.5163700963961493,0.7733005521305727,0.6192422555371285,0.6360365058569749
37,0.5333576776998507,0.9264672552188801,0.5305888785818977,0.7748236988837309,0.6298588577835598,0.6302089601678307
38,0.5328425501319144,0.9265952443416723,0.5307087476038848,0.7768274889334998,0.6306045404109624,0.6336636246825403
39,0.5327158794343043,0.9267411272227262,0.5318881895736406,0.7769496923663263,0.6314767794617929,0.6309470074190576
40,0.5298069288833536,0.9266666751809646,0.5315116505973535,0.779347542513242,0.6320012109420453,0.6400590394276208
41,0.5281735499985785,0.9270788976587988,0.5337496410362313,0.778074490632321,0.6331595372410477,0.6350577478617041
42,0.5269783044890534,0.9281186925532083,0.5373954075198235,0.7770511068150939,0.6353757138941724,0.6435725860062032
43,0.5277225703215428,0.9280399696297742,0.5371399137448796,0.7820794030512743,0.6368706973103248,0.6316661149082462
44,0.5286271516367685,0.9267088758863659,0.5310775779522272,0.7832456594805196,0.6329709403769009,0.6417867186563304
45,0.5278808910855286,0.9280281251428205,0.5368165376248153,0.7820178201015481,0.6366229331051753,0.6329236282233607
46,0.5285493294112116,0.9271011446951639,0.5324663478036026,0.7791902111293781,0.6326237811853567,0.6301079176123512
47,0.527017713557902,0.9283639249309188,0.5388562123792936,0.7798881958231111,0.6373450331492312,0.6466113788350221
48,0.5254287139760504,0.9280120441060404,0.5371622097436214,0.7847641591451223,0.6377747804642925,0.6416926467144161
49,0.5265230934182517,0.9288051990170435,0.5400989445647904,0.7762481544558048,0.6369912757112204,0.6356592857709471
50,0.5239567725564078,0.9283227198490586,0.5401284630086374,0.7795265166481979,0.6381129398248578,0.647283093044008
51,0.5266565147706931,0.928152172969664,0.5379363702253634,0.7770748181056747,0.6357615977029552,0.6420506012081141
52,0.5272340000533372,0.9276542856690854,0.5356991347112334,0.7807460415897638,0.6354157186918477,0.6407654683289696
53,0.5234413955280249,0.9281846302971017,0.539395486952468,0.7811782341691348,0.6381529592432786,0.6399755258653312
