Epoch,Loss,Accuracy,Precision,Recall,F1-score,Validation-F1-score
1,0.7377217579230988,0.5775274336170407,0.1713791247248585,0.9238091145600296,0.2891221650983429,0.2722278988891815
2,0.7035433109715689,0.6377368197021073,0.1947696347682898,0.9237859307871348,0.3217103448126905,0.3616042858959711
3,0.6691104675368439,0.7215649642025959,0.2393283625797938,0.9153657173723836,0.3794476512938977,0.3936177956243803
4,0.6373136869008592,0.7835085411041737,0.2859521173675049,0.8870014787407756,0.4324807934356135,0.4271153957749357
5,0.6069439216483411,0.8660045687722361,0.3960098762617939,0.8394019443063755,0.5381387073758125,0.5356548779728655
6,0.580992883593916,0.8843141886873875,0.4351688244213461,0.8187806428195721,0.5682969196178792,0.6073823297574371
7,0.5597517029415789,0.8936162376339436,0.4591492396273849,0.8089106314285132,0.5857936361279857,0.5829501794900868
8,0.5472048153336957,0.8995070194068863,0.4760066507493215,0.7994685599982753,0.5967224582924009,0.6093304130980393
9,0.5323925678678554,0.9056903428416616,0.4956212936383794,0.7983383879864937,0.611570067033592,0.5946375181858361
10,0.5258468801169087,0.9074553361906218,0.5015376634580013,0.7946413883801748,0.6149498939209393,0.624950671274072
11,0.5172537356186256,0.9102801330339816,0.5113875845344298,0.7914370070310329,0.6213132020334943,0.6218418978231344
12,0.5112905063860708,0.9127248145421132,0.5203782016934534,0.7856792358155918,0.626083258055445,0.6232686557121625
13,0.5027223213327875,0.9143928135590688,0.5263830725559374,0.792783364033374,0.6326839911270995,0.6258798596830097
14,0.4974553186258824,0.9181921061252848,0.5413011888389531,0.7884974670620607,0.6419236693061713,0.6315134731113251
15,0.4941679720612739,0.9170304812412988,0.5365413260233984,0.7916675157538905,0.639601733269391,0.6089163307973064
16,0.4863933688230651,0.9200322656184085,0.5485544915178648,0.7914698630149123,0.6479947126173514,0.6357504941401335
17,0.4841955090812642,0.9215045113144582,0.5548514187261453,0.788721109253456,0.651431935880105,0.6215509344665631
18,0.4778659793970396,0.9221822425583938,0.5573766560546153,0.7928370411126557,0.6545761751620889,0.6244050669395019
19,0.4772086987178102,0.9222269494885708,0.5575762186848962,0.7926996366497351,0.6546669174448274,0.6440607201011541
20,0.4750037208306704,0.9230099284403476,0.5608436566136606,0.7933295117024893,0.65712987770391,0.6304214824492719
21,0.466478242398166,0.9260080530426475,0.5739957733092074,0.7926592496313485,0.6658345395517299,0.6433551274671172
22,0.46500359271927705,0.9258576520906282,0.5731231415710827,0.794561352680118,0.6659160069929972,0.6189710355882897
23,0.45681173692075466,0.9269965630251399,0.5775710809465465,0.8004063952954366,0.6709711804405898,0.6299679543289768
24,0.4554417064721636,0.9276781943668087,0.580844206087998,0.7986831912330489,0.6725643941953936,0.6579482391858973
25,0.4513023505322367,0.928252415094323,0.5835414834454391,0.7980502889997575,0.6741433450819896,0.6571938435864787
26,0.4456636402889979,0.9302822374388289,0.5928485626295739,0.7991892472184641,0.6807260451268918,0.6531270329837501
27,0.44269751912827116,0.930031992611567,0.5912745827098458,0.8020967433739448,0.6807365823499597,0.6603630644120682
28,0.43985332527177795,0.9311608099832834,0.596485081464203,0.8029873989549287,0.6845007826619228,0.6603086629900351
29,0.4388637171803618,0.9318056787839957,0.5998481290496203,0.8011453965148735,0.6860353862128401,0.6359371942918781
30,0.4319748947088667,0.9329513393594787,0.6049477991499571,0.804201519851364,0.6904874209525514,0.6649699121351412
31,0.42750794145700743,0.9339647811287125,0.6095979388187863,0.8063060748277682,0.6942879129301911,0.6519362051890021
32,0.4232484984526531,0.9347454186485755,0.6132700863246201,0.8075896732092159,0.6971421145270226,0.648839025426308
33,0.418178601445054,0.9356042503814406,0.617294278116366,0.8093007685494549,0.7003763750173478,0.6568200884878805
34,0.42003864371519295,0.9356166785097804,0.6178178366769549,0.8067381494742009,0.6997509723988271,0.6597952207460054
35,0.412864622237871,0.9368642154058036,0.6235779246648016,0.8101516277814251,0.70472519709703,0.6481740232861716
36,0.4077361650604138,0.9376703271555785,0.6267608455895918,0.8152697778994556,0.7086939307066422,0.6622526993834433
37,0.41170850664162806,0.937134922013426,0.6250355935876438,0.8098541519183907,0.7055422511019687,0.6589721451055481
38,0.4061039108380997,0.9377255739625521,0.627112085123955,0.8149380432127806,0.7087929684045834,0.657437086947944
39,0.4008632217594188,0.9392681793442914,0.6348876617651694,0.8165200772949942,0.7143389258676753,0.6583238327495267
40,0.3966425063369943,0.9398403882256159,0.6381258086876155,0.8156578476775914,0.7160519674062278,0.6352617279663789
41,0.39508800294330654,0.9399279138344266,0.6376148803142863,0.8202110225402386,0.7174776520919592,0.6630090962355639
42,0.3907934341499274,0.9411981303480776,0.6447124827194872,0.8190904489057702,0.7215149327505919,0.655621122565325
43,0.38935247974858866,0.941589437865181,0.6467674903101368,0.8194671482984736,0.7229466511574965,0.6549917000129428
44,0.3850250687959383,0.9419380983628818,0.6479458189760479,0.8226313641302437,0.7249134000853433,0.6483699903524491
45,0.3791026637065325,0.9432263047639639,0.6546876335957367,0.824277707340455,0.729759388820896,0.661669641102657
46,0.3769733872559431,0.9437664957654827,0.6573592651197566,0.8257224107934196,0.7319843350068509,0.6680751368233897
47,0.3760670198382234,0.9433722288432332,0.6546275319911119,0.8278438736806292,0.7311161481134292,0.6523551566724715
48,0.37321713191570993,0.9443459143345181,0.6603763002499133,0.8267346704315932,0.7342504946994625,0.6654521731861646
49,0.3657494640822033,0.9454057384280256,0.665100399683531,0.8317784700422831,0.7391595994332019,0.6663149049991062
50,0.36758911995579013,0.945134894493018,0.6640813711587669,0.8297683483319054,0.7377364607897396,0.6658133031918914
51,0.3602684521846634,0.9467807769346243,0.6726283524611941,0.8333158347531548,0.7443992437019296,0.6567069457667257
52,0.3614212818068566,0.9462653323278771,0.6698749987522691,0.83242783718435,0.7423571107719671,0.6700321423644499
53,0.3530070610183606,0.9476452528230116,0.6761880654456663,0.838638282640611,0.7487025805483715,0.6668346190912832
54,0.3487089786598151,0.9485006513712524,0.6809511804875245,0.8396219686478603,0.7520079794110773,0.6678199193625284
55,0.3475564547794328,0.9486181761473099,0.681725739715902,0.8393646583021976,0.7523767072857982,0.6574036145281035
56,0.343669643129805,0.9496328813284853,0.6872638059310964,0.8411805974561642,0.7564723683791604,0.6618417861637259
