Epoch,Loss,Accuracy,Precision,Recall,F1-score,Test-F1-score
1,0.7070711417339561,0.7742062123530706,0.2732652583088991,0.8564607009309306,0.4143322595309628,0.5059344332600249
2,0.6337766297904629,0.858789738150734,0.38179270117141645,0.8304583371851059,0.523097810159972,0.5885722596033294
3,0.5859983488716527,0.8850145085695584,0.43670059904977565,0.8038079368713534,0.5659346911176791,0.5069184617184568
4,0.5566263729028624,0.8978742740462449,0.471549675735365,0.7883130981360955,0.5901099604073912,0.6212379962139987
5,0.5399409308427107,0.9036999334566423,0.4898092303136078,0.784727166940957,0.6031473255271158,0.6099158610652652
6,0.5285034886588947,0.9086842223111737,0.5067598330286649,0.7794453513827118,0.614196865179699,0.6288411356320993
7,0.5180870766909618,0.91227523386579,0.5197349673711535,0.7808810271128339,0.624090702972265,0.6484240290168116
8,0.5139748462126904,0.9129936174488614,0.5223728189898329,0.7822397778374918,0.6264247315542903,0.6162812336749424
9,0.5061080552175681,0.9164192645162736,0.5355936841916988,0.7805077779298238,0.6352626273172718,0.642281322775377
10,0.4979544456275004,0.9179733539005811,0.5414299397531114,0.7867576999279787,0.6414367388249183,0.6569250193904551
11,0.4925432136116645,0.9197758736740766,0.5488672399916895,0.7847297624005815,0.6459409522599534,0.6596696288116426
12,0.48610683833813734,0.9219424208796511,0.5576791403029211,0.7878303978684981,0.6530709244691179,0.6586439695123496
13,0.4889363966219509,0.9206997745551252,0.5526101295375748,0.7859039041566341,0.6489262680069909,0.6426015204265102
14,0.4811015708266564,0.9234896250121947,0.5643946528054298,0.7868751030590749,0.6573196782727301,0.6617693053038971
15,0.4750601003433495,0.92452306164868,0.5685018068414518,0.7910638987801671,0.6615660485168642,0.6603720392652157
16,0.4721035460095521,0.925248773364332,0.5716560137377275,0.7914797245455267,0.6638431252015377,0.6531608900819494
17,0.4675755919311246,0.925888514703808,0.5740877396124602,0.795336632769964,0.6668393216100673,0.6716539567744322
18,0.46530958841431813,0.926988924189351,0.5791418220039416,0.7942752002286655,0.6698591603083653,0.6615479732877078
19,0.4622270581375235,0.9268992562733347,0.5785352198959347,0.7960301727151369,0.67007578321282,0.6568164091470474
