Epoch,Loss,Accuracy,Precision,Recall,F1-score,Test-F1-score
1,0.7240514668492937,0.7244409103470801,0.24029032169413003,0.9043626694269103,0.3796951538158786,0.46846976298149595
2,0.6640025695379211,0.8161147417267391,0.32099089818915033,0.8713426246370084,0.4691523744963162,0.5283129851569038
3,0.6167279361393252,0.8683960496514301,0.401498161345996,0.8380907003798096,0.5429088395892716,0.5339335842947515
4,0.5802979107012325,0.8896005651735994,0.4493647809869047,0.8157709072832242,0.5795089309164181,0.6150858756421362
5,0.5548214218365857,0.8965509564660105,0.46822592998027823,0.8054308722522504,0.5921903271495048,0.5715962626222842
6,0.5348335522204396,0.9048581182896347,0.4937475529852079,0.7989211834014724,0.6103116262177872,0.617826269774406
7,0.5229920805946514,0.9110817009639064,0.5151659620449788,0.7898269137676763,0.6235925872419167,0.6295817547732248
8,0.5151619247670444,0.9121793398694577,0.5191441019768686,0.7901245080637617,0.6265917857389819,0.6420244151418055
9,0.5053098180062687,0.9148217831115002,0.5289699275907893,0.7907123520574209,0.6338844766854848,0.6380237119666314
10,0.4981782738410559,0.9169665158619721,0.5371704138756191,0.7920030133838465,0.6401581279988813,0.5870333967698654
11,0.49468151835418456,0.9180830441493261,0.5416817144653413,0.7900120197391883,0.6426929170109404,0.629947058399258
12,0.4904265501749805,0.919065848178973,0.5455004444882618,0.7919852869468371,0.6460305570424357,0.6441416588111196
13,0.4839513083352554,0.9215106017839816,0.555404609593892,0.7936187698338674,0.6534794426067512,0.6380233113717215
14,0.4772060507873319,0.9230144087462823,0.5617093106357205,0.7940173109425792,0.6579599592772704,0.6473530515604672
15,0.4752343423925641,0.923498261188117,0.5639096804936382,0.7925735174983127,0.6589685440731048,0.6448841338096594
16,0.47086854660607413,0.924536100883883,0.5682345580300883,0.7943710665671335,0.6625381310253917,0.6423248019422201
17,0.46875931013305233,0.9247860813559289,0.5692996987168295,0.7946383436859039,0.663354720794052,0.6480091680129204
18,0.4626263215374754,0.9263695296185507,0.5760440919671136,0.7970524524718882,0.6687619426235129,0.6263439322250418
19,0.46105937197844615,0.9263370705745206,0.5755341080193267,0.8003974477023169,0.669591491246373,0.6523758762512181
20,0.4588009785770406,0.9270586727681773,0.5789820123945459,0.7984040794882151,0.6712157228395307,0.6484296201985642
21,0.45218919534888874,0.928579643937007,0.5856421942018507,0.8005494201467086,0.6764368131054767,0.6643853493025549
22,0.44791401830323624,0.9299853991464389,0.5920130391371888,0.80172046944023,0.6810899913517287,0.6604262843962561
23,0.44480409286414196,0.9301225480058086,0.5922746053533293,0.804520970374982,0.6822721212857032,0.6564953676327242
24,0.441357696875729,0.9309468728000153,0.5963995847154716,0.8028023895457979,0.6843772672440479,0.6713390427309207
25,0.4401979704269502,0.9315815828074244,0.5991730549338957,0.8045405743785282,0.6868338722404215,0.6653223850929579
26,0.43635115276449776,0.9322594891437759,0.6020261244821604,0.8072134007887768,0.6896819832150278,0.6766238418213042
27,0.43357027002743315,0.9329777594317546,0.6054672869429144,0.8074477652706076,0.6920206660982379,0.6716905467591127
28,0.4309857075587116,0.9333501398020244,0.6071007691911894,0.8085954554275092,0.6935088395630339,0.6622127911750392
29,0.42668373011193184,0.9338908818296754,0.6098152098353427,0.808234299981898,0.6951429633837035,0.6470319450230899
